"","X","workerid","trial","criticalComplicated","criticalSimple","langCondition","objCondition","response","responseSide","responseValue","word"
"7193",7193,"A384DW1A7HI9Z7",0,"26","22","""short""","""2-4""","""26""","""left""","""complex""","""ratum"""
"7194",7194,"A384DW1A7HI9Z7",1,"10","20","""long""","""1-2""","""20""","""right""","""simple""","""kibagronan"""
"7195",7195,"A384DW1A7HI9Z7",2,"31","1","""long""","""3-4""","""1""","""left""","""simple""","""binivatrus"""
"7196",7196,"A384DW1A7HI9Z7",3,"60","13","""short""","""1-3""","""60""","""left""","""complex""","""wugnum"""
"7197",7197,"A384DW1A7HI9Z7",4,"51","58","""short""","""4-4""","""51""","""right""","""complex""","""torun"""
"7198",7198,"A384DW1A7HI9Z7",5,"16","6","""short""","""2-3""","""6""","""right""","""simple""","""bugorn"""
"7199",7199,"A384DW1A7HI9Z7",6,"48","8","""long""","""3-3""","""48""","""right""","""complex""","""fepolopus"""
"7200",7200,"A384DW1A7HI9Z7",7,"36","52","""long""","""5-5""","""52""","""left""","""simple""","""tiburalex"""
"7201",7201,"A385B4WV38BUWF",0,"1","4","""long""","""2-3""","""1""","""right""","""complex""","""tupabugorn"""
"7202",7202,"A385B4WV38BUWF",1,"52","26","""short""","""4-5""","""26""","""left""","""simple""","""ratum"""
"7203",7203,"A385B4WV38BUWF",2,"45","54","""long""","""1-4""","""54""","""right""","""simple""","""binivatrus"""
"7204",7204,"A385B4WV38BUWF",3,"23","47","""short""","""4-4""","""47""","""left""","""simple""","""gronan"""
"7205",7205,"A385B4WV38BUWF",4,"60","3","""long""","""1-3""","""60""","""left""","""complex""","""fepolopus"""
"7206",7206,"A385B4WV38BUWF",5,"42","24","""short""","""3-4""","""42""","""left""","""complex""","""wugnum"""
"7207",7207,"A385B4WV38BUWF",6,"18","22","""long""","""2-4""","""18""","""left""","""complex""","""tiburalex"""
"7208",7208,"A385B4WV38BUWF",7,"56","16","""short""","""3-3""","""16""","""right""","""simple""","""torun"""
"7209",7209,"A38CVZ06ZWF1NJ",0,"35","41","""short""","""4-5""","""41""","""right""","""simple""","""bugorn"""
"7210",7210,"A38CVZ06ZWF1NJ",1,"45","47","""short""","""4-4""","""45""","""left""","""complex""","""ratum"""
"7211",7211,"A38CVZ06ZWF1NJ",2,"32","25","""long""","""5-5""","""32""","""right""","""complex""","""binivatrus"""
"7212",7212,"A38CVZ06ZWF1NJ",3,"6","10","""long""","""2-2""","""6""","""right""","""complex""","""kibagronan"""
"7213",7213,"A38CVZ06ZWF1NJ",4,"43","5","""short""","""2-5""","""43""","""left""","""complex""","""wugnum"""
"7214",7214,"A38CVZ06ZWF1NJ",5,"42","15","""long""","""1-4""","""42""","""right""","""complex""","""tiburalex"""
"7215",7215,"A38CVZ06ZWF1NJ",6,"16","40","""long""","""3-3""","""16""","""left""","""complex""","""mipatorun"""
"7216",7216,"A38CVZ06ZWF1NJ",7,"1","44","""short""","""1-3""","""44""","""left""","""simple""","""lopus"""
"7217",7217,"A38DAH5RS19EX4",0,"30","11","""short""","""4-4""","""11""","""left""","""simple""","""bugorn"""
"7218",7218,"A38DAH5RS19EX4",1,"7","12","""long""","""3-3""","""7""","""right""","""complex""","""pakuwugnum"""
"7219",7219,"A38DAH5RS19EX4",2,"33","51","""short""","""4-5""","""51""","""right""","""simple""","""ralex"""
"7220",7220,"A38DAH5RS19EX4",3,"53","59","""long""","""1-5""","""53""","""left""","""complex""","""mipatorun"""
"7221",7221,"A38DAH5RS19EX4",4,"47","29","""long""","""1-4""","""47""","""left""","""complex""","""kibagronan"""
"7222",7222,"A38DAH5RS19EX4",5,"41","8","""short""","""3-4""","""41""","""left""","""complex""","""vatrus"""
"7223",7223,"A38DAH5RS19EX4",6,"23","6","""long""","""2-4""","""23""","""right""","""complex""","""fepolopus"""
"7224",7224,"A38DAH5RS19EX4",7,"27","55","""short""","""2-5""","""27""","""right""","""complex""","""ratum"""
"7225",7225,"A38GK33NFSSS3Y",0,"4","6","""long""","""2-2""","""4""","""right""","""complex""","""tiburalex"""
"7226",7226,"A38GK33NFSSS3Y",1,"38","20","""long""","""1-5""","""20""","""right""","""simple""","""tupabugorn"""
"7227",7227,"A38GK33NFSSS3Y",2,"9","13","""short""","""1-2""","""9""","""left""","""complex""","""wugnum"""
"7228",7228,"A38GK33NFSSS3Y",3,"43","24","""short""","""3-5""","""43""","""right""","""complex""","""vatrus"""
"7229",7229,"A38GK33NFSSS3Y",4,"56","37","""long""","""2-3""","""56""","""right""","""complex""","""fepolopus"""
"7230",7230,"A38GK33NFSSS3Y",5,"50","19","""short""","""1-3""","""19""","""left""","""simple""","""ratum"""
"7231",7231,"A38GK33NFSSS3Y",6,"31","60","""short""","""3-4""","""31""","""right""","""complex""","""torun"""
"7232",7232,"A38GK33NFSSS3Y",7,"47","11","""long""","""4-4""","""47""","""right""","""complex""","""kibagronan"""
"7233",7233,"A38I38MPWY53PM",0,"25","6","""long""","""2-5""","""6""","""left""","""simple""","""gaburatum"""
"7234",7234,"A38I38MPWY53PM",1,"40","20","""long""","""1-3""","""40""","""right""","""complex""","""mipatorun"""
"7235",7235,"A38I38MPWY53PM",2,"56","7","""short""","""3-3""","""7""","""right""","""simple""","""lopus"""
"7236",7236,"A38I38MPWY53PM",3,"23","15","""short""","""1-4""","""23""","""right""","""complex""","""vatrus"""
"7237",7237,"A38I38MPWY53PM",4,"47","60","""long""","""3-4""","""47""","""left""","""complex""","""pakuwugnum"""
"7238",7238,"A38I38MPWY53PM",5,"11","51","""short""","""4-4""","""11""","""right""","""complex""","""bugorn"""
"7239",7239,"A38I38MPWY53PM",6,"41","34","""long""","""2-4""","""34""","""left""","""simple""","""tiburalex"""
"7240",7240,"A38I38MPWY53PM",7,"9","49","""short""","""2-2""","""9""","""left""","""complex""","""gronan"""
"7241",7241,"A38NRTPI13PMMK",0,"41","29","""short""","""1-4""","""41""","""left""","""complex""","""lopus"""
"7242",7242,"A38NRTPI13PMMK",1,"7","1","""long""","""3-3""","""1""","""left""","""simple""","""kibagronan"""
"7243",7243,"A38NRTPI13PMMK",2,"42","60","""long""","""3-4""","""42""","""left""","""complex""","""gaburatum"""
"7244",7244,"A38NRTPI13PMMK",3,"44","19","""long""","""1-1""","""19""","""left""","""simple""","""binivatrus"""
"7245",7245,"A38NRTPI13PMMK",4,"21","38","""short""","""5-5""","""38""","""right""","""simple""","""wugnum"""
"7246",7246,"A38NRTPI13PMMK",5,"50","17","""short""","""2-3""","""17""","""left""","""simple""","""torun"""
"7247",7247,"A38NRTPI13PMMK",6,"16","46","""long""","""1-3""","""16""","""left""","""complex""","""tupabugorn"""
"7248",7248,"A38NRTPI13PMMK",7,"25","13","""short""","""1-5""","""13""","""right""","""simple""","""ralex"""
"7249",7249,"A38U73VCVFDDEX",0,"27","18","""short""","""4-5""","""27""","""right""","""complex""","""torun"""
"7250",7250,"A38U73VCVFDDEX",1,"4","28","""long""","""1-2""","""4""","""left""","""complex""","""tiburalex"""
"7251",7251,"A38U73VCVFDDEX",2,"60","2","""long""","""2-3""","""60""","""right""","""complex""","""binivatrus"""
"7252",7252,"A38U73VCVFDDEX",3,"31","58","""short""","""4-4""","""31""","""left""","""complex""","""lopus"""
"7253",7253,"A38U73VCVFDDEX",4,"17","5","""long""","""2-2""","""5""","""right""","""simple""","""tupabugorn"""
"7254",7254,"A38U73VCVFDDEX",5,"26","9","""short""","""2-4""","""9""","""left""","""simple""","""gronan"""
"7255",7255,"A38U73VCVFDDEX",6,"7","1","""short""","""3-3""","""7""","""left""","""complex""","""ratum"""
"7256",7256,"A38U73VCVFDDEX",7,"52","10","""long""","""2-5""","""52""","""left""","""complex""","""pakuwugnum"""
"7257",7257,"A38VOZIC9QGEGU",0,"38","18","""short""","""4-5""","""18""","""right""","""simple""","""vatrus"""
"7258",7258,"A38VOZIC9QGEGU",1,"48","4","""long""","""2-3""","""48""","""left""","""complex""","""tiburalex"""
"7259",7259,"A38VOZIC9QGEGU",2,"33","49","""short""","""2-5""","""49""","""right""","""simple""","""bugorn"""
"7260",7260,"A38VOZIC9QGEGU",3,"7","28","""short""","""1-3""","""7""","""right""","""complex""","""torun"""
"7261",7261,"A38VOZIC9QGEGU",4,"31","15","""long""","""1-4""","""31""","""right""","""complex""","""kibagronan"""
"7262",7262,"A38VOZIC9QGEGU",5,"11","51","""short""","""4-4""","""51""","""left""","""simple""","""wugnum"""
"7263",7263,"A38VOZIC9QGEGU",6,"6","44","""long""","""1-2""","""44""","""left""","""simple""","""fepolopus"""
"7264",7264,"A38VOZIC9QGEGU",7,"25","3","""long""","""1-5""","""25""","""right""","""complex""","""gaburatum"""
"7265",7265,"A38WUWONC7EXTO",0,"14","30","""short""","""4-5""","""30""","""left""","""simple""","""ralex"""
"7266",7266,"A38WUWONC7EXTO",1,"47","20","""long""","""1-4""","""20""","""right""","""simple""","""binivatrus"""
"7267",7267,"A38WUWONC7EXTO",2,"39","54","""short""","""1-3""","""54""","""left""","""simple""","""gronan"""
"7268",7268,"A38WUWONC7EXTO",3,"60","55","""long""","""2-3""","""55""","""right""","""simple""","""pakuwugnum"""
"7269",7269,"A38WUWONC7EXTO",4,"32","7","""short""","""3-5""","""32""","""right""","""complex""","""bugorn"""
"7270",7270,"A38WUWONC7EXTO",5,"41","58","""short""","""4-4""","""41""","""left""","""complex""","""ratum"""
"7271",7271,"A38WUWONC7EXTO",6,"37","19","""long""","""1-2""","""37""","""right""","""complex""","""fepolopus"""
"7272",7272,"A38WUWONC7EXTO",7,"53","9","""long""","""2-5""","""53""","""right""","""complex""","""mipatorun"""
"7273",7273,"A38Z4HGE16SX10",0,"15","13","""short""","""1-1""","""13""","""right""","""simple""","""torun"""
"7274",7274,"A38Z4HGE16SX10",1,"45","2","""long""","""2-4""","""2""","""left""","""simple""","""fepolopus"""
"7275",7275,"A38Z4HGE16SX10",2,"11","12","""short""","""3-4""","""12""","""right""","""simple""","""ratum"""
"7276",7276,"A38Z4HGE16SX10",3,"6","17","""long""","""2-2""","""17""","""left""","""simple""","""kibagronan"""
"7277",7277,"A38Z4HGE16SX10",4,"34","3","""long""","""1-2""","""34""","""right""","""complex""","""pakuwugnum"""
"7278",7278,"A38Z4HGE16SX10",5,"31","58","""short""","""4-4""","""31""","""right""","""complex""","""vatrus"""
"7279",7279,"A38Z4HGE16SX10",6,"50","5","""short""","""2-3""","""50""","""right""","""complex""","""bugorn"""
"7280",7280,"A38Z4HGE16SX10",7,"39","29","""long""","""1-3""","""29""","""right""","""simple""","""tiburalex"""
"7281",7281,"A391E85B1WB84I",0,"59","29","""short""","""1-1""","""29""","""right""","""simple""","""ratum"""
"7282",7282,"A391E85B1WB84I",1,"17","57","""long""","""1-2""","""57""","""right""","""simple""","""tiburalex"""
"7283",7283,"A391E85B1WB84I",2,"32","51","""long""","""4-5""","""32""","""left""","""complex""","""fepolopus"""
"7284",7284,"A391E85B1WB84I",3,"58","3","""long""","""1-4""","""58""","""right""","""complex""","""kibagronan"""
"7285",7285,"A391E85B1WB84I",4,"14","28","""short""","""1-5""","""14""","""left""","""complex""","""vatrus"""
"7286",7286,"A391E85B1WB84I",5,"11","48","""long""","""3-4""","""48""","""right""","""simple""","""pakuwugnum"""
"7287",7287,"A391E85B1WB84I",6,"5","37","""short""","""2-2""","""5""","""left""","""complex""","""bugorn"""
"7288",7288,"A391E85B1WB84I",7,"33","27","""short""","""5-5""","""27""","""right""","""simple""","""torun"""
"7289",7289,"A39748PNE1U0DV",0,"9","4","""short""","""2-2""","""9""","""left""","""complex""","""torun"""
"7290",7290,"A39748PNE1U0DV",1,"20","13","""short""","""1-1""","""13""","""left""","""simple""","""vatrus"""
"7291",7291,"A39748PNE1U0DV",2,"43","38","""long""","""5-5""","""38""","""right""","""simple""","""pakuwugnum"""
"7292",7292,"A39748PNE1U0DV",3,"45","29","""long""","""1-4""","""45""","""right""","""complex""","""tiburalex"""
"7293",7293,"A39748PNE1U0DV",4,"10","28","""short""","""1-2""","""28""","""left""","""simple""","""bugorn"""
"7294",7294,"A39748PNE1U0DV",5,"47","56","""long""","""3-4""","""56""","""right""","""simple""","""gaburatum"""
"7295",7295,"A39748PNE1U0DV",6,"50","19","""long""","""1-3""","""19""","""left""","""simple""","""fepolopus"""
"7296",7296,"A39748PNE1U0DV",7,"48","37","""short""","""2-3""","""37""","""right""","""simple""","""gronan"""
"7297",7297,"A39C1BN9ZSQ0R2",0,"39","7","""short""","""3-3""","""7""","""left""","""simple""","""vatrus"""
"7298",7298,"A39C1BN9ZSQ0R2",1,"14","40","""short""","""3-5""","""40""","""left""","""simple""","""lopus"""
"7299",7299,"A39C1BN9ZSQ0R2",2,"53","36","""long""","""5-5""","""53""","""right""","""complex""","""gaburatum"""
"7300",7300,"A39C1BN9ZSQ0R2",3,"11","16","""short""","""3-4""","""11""","""right""","""complex""","""gronan"""
"7301",7301,"A39C1BN9ZSQ0R2",4,"8","4","""short""","""2-3""","""8""","""left""","""complex""","""torun"""
"7302",7302,"A39C1BN9ZSQ0R2",5,"32","37","""long""","""2-5""","""32""","""left""","""complex""","""pakuwugnum"""
"7303",7303,"A39C1BN9ZSQ0R2",6,"33","46","""long""","""1-5""","""46""","""left""","""simple""","""tupabugorn"""
"7304",7304,"A39C1BN9ZSQ0R2",7,"54","13","""long""","""1-1""","""13""","""left""","""simple""","""tiburalex"""
"7305",7305,"A39EGSQEULNIA4",0,"33","3","""short""","""1-5""","""3""","""right""","""simple""","""ralex"""
"7306",7306,"A39EGSQEULNIA4",1,"52","35","""short""","""5-5""","""35""","""left""","""simple""","""torun"""
"7307",7307,"A39EGSQEULNIA4",2,"13","54","""long""","""1-1""","""54""","""right""","""simple""","""fepolopus"""
"7308",7308,"A39EGSQEULNIA4",3,"45","31","""short""","""4-4""","""45""","""right""","""complex""","""gronan"""
"7309",7309,"A39EGSQEULNIA4",4,"51","50","""short""","""3-4""","""50""","""left""","""simple""","""wugnum"""
"7310",7310,"A39EGSQEULNIA4",5,"37","46","""long""","""1-2""","""46""","""right""","""simple""","""binivatrus"""
"7311",7311,"A39EGSQEULNIA4",6,"6","34","""long""","""2-2""","""6""","""right""","""complex""","""gaburatum"""
"7312",7312,"A39EGSQEULNIA4",7,"48","19","""long""","""1-3""","""48""","""left""","""complex""","""tupabugorn"""
"7313",7313,"A39GJVGSIHMC46",0,"25","42","""short""","""4-5""","""25""","""right""","""complex""","""ralex"""
"7314",7314,"A39GJVGSIHMC46",1,"18","47","""long""","""4-4""","""47""","""left""","""simple""","""mipatorun"""
"7315",7315,"A39GJVGSIHMC46",2,"10","57","""short""","""1-2""","""10""","""left""","""complex""","""wugnum"""
"7316",7316,"A39GJVGSIHMC46",3,"54","13","""long""","""1-1""","""13""","""right""","""simple""","""kibagronan"""
"7317",7317,"A39GJVGSIHMC46",4,"41","3","""short""","""1-4""","""41""","""right""","""complex""","""ratum"""
"7318",7318,"A39GJVGSIHMC46",5,"6","9","""short""","""2-2""","""9""","""right""","""simple""","""vatrus"""
"7319",7319,"A39GJVGSIHMC46",6,"35","36","""long""","""5-5""","""36""","""left""","""simple""","""fepolopus"""
"7320",7320,"A39GJVGSIHMC46",7,"45","1","""long""","""3-4""","""45""","""right""","""complex""","""tupabugorn"""
"7321",7321,"A39MASTIRVKS6Z",0,"14","4","""short""","""2-5""","""4""","""left""","""simple""","""lopus"""
"7322",7322,"A39MASTIRVKS6Z",1,"37","5","""long""","""2-2""","""37""","""left""","""complex""","""pakuwugnum"""
"7323",7323,"A39MASTIRVKS6Z",2,"52","18","""long""","""4-5""","""18""","""right""","""simple""","""gaburatum"""
"7324",7324,"A39MASTIRVKS6Z",3,"16","10","""long""","""2-3""","""10""","""left""","""simple""","""kibagronan"""
"7325",7325,"A39MASTIRVKS6Z",4,"47","31","""short""","""4-4""","""47""","""left""","""complex""","""bugorn"""
"7326",7326,"A39MASTIRVKS6Z",5,"23","55","""short""","""2-4""","""23""","""left""","""complex""","""vatrus"""
"7327",7327,"A39MASTIRVKS6Z",6,"42","3","""long""","""1-4""","""3""","""left""","""simple""","""tiburalex"""
"7328",7328,"A39MASTIRVKS6Z",7,"30","56","""short""","""3-4""","""56""","""right""","""simple""","""torun"""
"7329",7329,"A39V8FBTN4GCLI",0,"53","55","""short""","""2-5""","""55""","""right""","""simple""","""wugnum"""
"7330",7330,"A39V8FBTN4GCLI",1,"14","36","""short""","""5-5""","""36""","""right""","""simple""","""vatrus"""
"7331",7331,"A39V8FBTN4GCLI",2,"26","6","""long""","""2-4""","""26""","""right""","""complex""","""tiburalex"""
"7332",7332,"A39V8FBTN4GCLI",3,"52","50","""long""","""3-5""","""52""","""left""","""complex""","""tupabugorn"""
"7333",7333,"A39V8FBTN4GCLI",4,"2","28","""long""","""1-2""","""28""","""right""","""simple""","""gaburatum"""
"7334",7334,"A39V8FBTN4GCLI",5,"4","10","""short""","""2-2""","""4""","""left""","""complex""","""torun"""
"7335",7335,"A39V8FBTN4GCLI",6,"35","41","""short""","""4-5""","""41""","""left""","""simple""","""lopus"""
"7336",7336,"A39V8FBTN4GCLI",7,"18","60","""long""","""3-4""","""18""","""right""","""complex""","""kibagronan"""
"7337",7337,"A39XRKAM1T0MK9",0,"12","3","""long""","""1-3""","""12""","""left""","""complex""","""binivatrus"""
"7338",7338,"A39XRKAM1T0MK9",1,"6","9","""short""","""2-2""","""6""","""left""","""complex""","""bugorn"""
"7339",7339,"A39XRKAM1T0MK9",2,"35","58","""long""","""4-5""","""35""","""right""","""complex""","""tiburalex"""
"7340",7340,"A39XRKAM1T0MK9",3,"43","54","""long""","""1-5""","""54""","""right""","""simple""","""gaburatum"""
"7341",7341,"A39XRKAM1T0MK9",4,"13","57","""short""","""1-1""","""57""","""right""","""simple""","""wugnum"""
"7342",7342,"A39XRKAM1T0MK9",5,"26","20","""long""","""1-4""","""26""","""left""","""complex""","""kibagronan"""
"7343",7343,"A39XRKAM1T0MK9",6,"14","39","""short""","""3-5""","""39""","""right""","""simple""","""lopus"""
"7344",7344,"A39XRKAM1T0MK9",7,"36","17","""short""","""2-5""","""17""","""right""","""simple""","""torun"""
"7345",7345,"A39YBLQYIUBR76",0,"16","5","""long""","""2-3""","""16""","""right""","""complex""","""tiburalex"""
"7346",7346,"A39YBLQYIUBR76",1,"9","19","""long""","""1-2""","""9""","""left""","""complex""","""fepolopus"""
"7347",7347,"A39YBLQYIUBR76",2,"11","22","""short""","""2-4""","""22""","""right""","""simple""","""wugnum"""
"7348",7348,"A39YBLQYIUBR76",3,"30","56","""short""","""3-4""","""56""","""right""","""simple""","""ratum"""
"7349",7349,"A39YBLQYIUBR76",4,"10","34","""long""","""2-2""","""34""","""left""","""simple""","""mipatorun"""
"7350",7350,"A39YBLQYIUBR76",5,"23","3","""short""","""1-4""","""3""","""left""","""simple""","""gronan"""
"7351",7351,"A39YBLQYIUBR76",6,"14","12","""short""","""3-5""","""14""","""right""","""complex""","""vatrus"""
"7352",7352,"A39YBLQYIUBR76",7,"44","15","""long""","""1-1""","""44""","""left""","""complex""","""tupabugorn"""
"7353",7353,"A3A1IHUGRNCVOM",0,"40","60","""long""","""3-3""","""40""","""right""","""complex""","""gaburatum"""
"7354",7354,"A3A1IHUGRNCVOM",1,"27","23","""short""","""4-5""","""27""","""left""","""complex""","""bugorn"""
"7355",7355,"A3A1IHUGRNCVOM",2,"45","7","""long""","""3-4""","""45""","""left""","""complex""","""binivatrus"""
"7356",7356,"A3A1IHUGRNCVOM",3,"33","38","""short""","""5-5""","""38""","""right""","""simple""","""torun"""
"7357",7357,"A3A1IHUGRNCVOM",4,"43","46","""long""","""1-5""","""43""","""right""","""complex""","""tiburalex"""
"7358",7358,"A3A1IHUGRNCVOM",5,"35","55","""short""","""2-5""","""55""","""right""","""simple""","""wugnum"""
"7359",7359,"A3A1IHUGRNCVOM",6,"58","9","""long""","""2-4""","""58""","""right""","""complex""","""fepolopus"""
"7360",7360,"A3A1IHUGRNCVOM",7,"59","57","""short""","""1-1""","""57""","""right""","""simple""","""gronan"""
"7361",7361,"A3A78C2A0JHOJN",0,"43","45","""long""","""4-5""","""43""","""right""","""complex""","""fepolopus"""
"7362",7362,"A3A78C2A0JHOJN",1,"48","12","""long""","""3-3""","""48""","""left""","""complex""","""kibagronan"""
"7363",7363,"A3A78C2A0JHOJN",2,"26","1","""short""","""3-4""","""1""","""left""","""simple""","""vatrus"""
"7364",7364,"A3A78C2A0JHOJN",3,"8","28","""short""","""1-3""","""28""","""right""","""simple""","""bugorn"""
"7365",7365,"A3A78C2A0JHOJN",4,"58","15","""short""","""1-4""","""58""","""left""","""complex""","""ralex"""
"7366",7366,"A3A78C2A0JHOJN",5,"57","13","""long""","""1-1""","""57""","""left""","""complex""","""gaburatum"""
"7367",7367,"A3A78C2A0JHOJN",6,"35","49","""short""","""2-5""","""35""","""right""","""complex""","""wugnum"""
"7368",7368,"A3A78C2A0JHOJN",7,"36","19","""long""","""1-5""","""36""","""right""","""complex""","""mipatorun"""
"7369",7369,"A3A7BDMFM46GYI",0,"30","11","""short""","""4-4""","""30""","""right""","""complex""","""gronan"""
"7370",7370,"A3A7BDMFM46GYI",1,"37","13","""long""","""1-2""","""37""","""right""","""complex""","""tupabugorn"""
"7371",7371,"A3A7BDMFM46GYI",2,"24","60","""long""","""3-3""","""60""","""right""","""simple""","""fepolopus"""
"7372",7372,"A3A7BDMFM46GYI",3,"32","36","""long""","""5-5""","""32""","""left""","""complex""","""gaburatum"""
"7373",7373,"A3A7BDMFM46GYI",4,"21","39","""short""","""3-5""","""21""","""right""","""complex""","""vatrus"""
"7374",7374,"A3A7BDMFM46GYI",5,"1","10","""short""","""2-3""","""1""","""left""","""complex""","""ralex"""
"7375",7375,"A3A7BDMFM46GYI",6,"41","56","""long""","""3-4""","""41""","""right""","""complex""","""pakuwugnum"""
"7376",7376,"A3A7BDMFM46GYI",7,"14","20","""short""","""1-5""","""14""","""left""","""complex""","""torun"""
"7377",7377,"A3AFPL99I9D6OG",0,"21","50","""short""","""3-5""","""21""","""right""","""complex""","""vatrus"""
"7378",7378,"A3AFPL99I9D6OG",1,"39","3","""long""","""1-3""","""39""","""left""","""complex""","""tupabugorn"""
"7379",7379,"A3AFPL99I9D6OG",2,"41","46","""short""","""1-4""","""46""","""right""","""simple""","""ralex"""
"7380",7380,"A3AFPL99I9D6OG",3,"27","18","""long""","""4-5""","""18""","""left""","""simple""","""pakuwugnum"""
"7381",7381,"A3AFPL99I9D6OG",4,"14","29","""short""","""1-5""","""29""","""right""","""simple""","""ratum"""
"7382",7382,"A3AFPL99I9D6OG",5,"59","54","""long""","""1-1""","""54""","""right""","""simple""","""fepolopus"""
"7383",7383,"A3AFPL99I9D6OG",6,"60","40","""long""","""3-3""","""40""","""right""","""simple""","""mipatorun"""
"7384",7384,"A3AFPL99I9D6OG",7,"38","6","""short""","""2-5""","""38""","""left""","""complex""","""gronan"""
"7385",7385,"A3AIX82WZQZB5A",0,"53","47","""long""","""4-5""","""47""","""right""","""simple""","""tiburalex"""
"7386",7386,"A3AIX82WZQZB5A",1,"58","17","""short""","""2-4""","""17""","""right""","""simple""","""gronan"""
"7387",7387,"A3AIX82WZQZB5A",2,"18","11","""long""","""4-4""","""11""","""left""","""simple""","""fepolopus"""
"7388",7388,"A3AIX82WZQZB5A",3,"5","49","""long""","""2-2""","""49""","""right""","""simple""","""pakuwugnum"""
"7389",7389,"A3AIX82WZQZB5A",4,"21","56","""short""","""3-5""","""56""","""right""","""simple""","""vatrus"""
"7390",7390,"A3AIX82WZQZB5A",5,"32","25","""short""","""5-5""","""25""","""right""","""simple""","""bugorn"""
"7391",7391,"A3AIX82WZQZB5A",6,"38","10","""long""","""2-5""","""38""","""left""","""complex""","""mipatorun"""
"7392",7392,"A3AIX82WZQZB5A",7,"51","12","""short""","""3-4""","""51""","""right""","""complex""","""ratum"""
"7393",7393,"A3AMH2JMR6OPT",0,"4","34","""short""","""2-2""","""34""","""left""","""simple""","""lopus"""
"7394",7394,"A3AMH2JMR6OPT",1,"35","52","""short""","""5-5""","""52""","""right""","""simple""","""torun"""
"7395",7395,"A3AMH2JMR6OPT",2,"32","23","""short""","""4-5""","""32""","""left""","""complex""","""vatrus"""
"7396",7396,"A3AMH2JMR6OPT",3,"48","17","""short""","""2-3""","""48""","""left""","""complex""","""ralex"""
"7397",7397,"A3AMH2JMR6OPT",4,"44","19","""long""","""1-1""","""19""","""left""","""simple""","""pakuwugnum"""
"7398",7398,"A3AMH2JMR6OPT",5,"36","12","""long""","""3-5""","""12""","""right""","""simple""","""tupabugorn"""
"7399",7399,"A3AMH2JMR6OPT",6,"27","9","""long""","""2-5""","""27""","""right""","""complex""","""kibagronan"""
"7400",7400,"A3AMH2JMR6OPT",7,"42","2","""long""","""2-4""","""2""","""right""","""simple""","""gaburatum"""
"7401",7401,"A3AN2XS8AEDNHV",0,"2","5","""short""","""2-2""","""5""","""left""","""simple""","""gronan"""
"7402",7402,"A3AN2XS8AEDNHV",1,"42","31","""short""","""4-4""","""42""","""left""","""complex""","""lopus"""
"7403",7403,"A3AN2XS8AEDNHV",2,"48","44","""long""","""1-3""","""48""","""left""","""complex""","""pakuwugnum"""
"7404",7404,"A3AN2XS8AEDNHV",3,"32","17","""long""","""2-5""","""17""","""right""","""simple""","""mipatorun"""
"7405",7405,"A3AN2XS8AEDNHV",4,"53","12","""long""","""3-5""","""53""","""left""","""complex""","""tiburalex"""
"7406",7406,"A3AN2XS8AEDNHV",5,"36","14","""short""","""5-5""","""14""","""left""","""simple""","""ratum"""
"7407",7407,"A3AN2XS8AEDNHV",6,"40","60","""short""","""3-3""","""60""","""right""","""simple""","""bugorn"""
"7408",7408,"A3AN2XS8AEDNHV",7,"27","45","""long""","""4-5""","""27""","""left""","""complex""","""binivatrus"""
"7409",7409,"A3ANNQ73J8M158",0,"10","4","""short""","""2-2""","""10""","""right""","""complex""","""bugorn"""
"7410",7410,"A3ANNQ73J8M158",1,"56","16","""short""","""3-3""","""16""","""left""","""simple""","""torun"""
"7411",7411,"A3ANNQ73J8M158",2,"3","13","""short""","""1-1""","""13""","""left""","""simple""","""ratum"""
"7412",7412,"A3ANNQ73J8M158",3,"36","45","""long""","""4-5""","""36""","""left""","""complex""","""binivatrus"""
"7413",7413,"A3ANNQ73J8M158",4,"35","15","""long""","""1-5""","""35""","""right""","""complex""","""kibagronan"""
"7414",7414,"A3ANNQ73J8M158",5,"51","30","""long""","""4-4""","""51""","""left""","""complex""","""tiburalex"""
"7415",7415,"A3ANNQ73J8M158",6,"50","34","""long""","""2-3""","""50""","""right""","""complex""","""pakuwugnum"""
"7416",7416,"A3ANNQ73J8M158",7,"47","8","""short""","""3-4""","""47""","""right""","""complex""","""lopus"""
"7417",7417,"A3APSDB02MI0VV",0,"38","44","""short""","""1-5""","""38""","""right""","""complex""","""gronan"""
"7418",7418,"A3APSDB02MI0VV",1,"52","37","""long""","""2-5""","""37""","""left""","""simple""","""pakuwugnum"""
"7419",7419,"A3APSDB02MI0VV",2,"7","4","""long""","""2-3""","""4""","""right""","""simple""","""gaburatum"""
"7420",7420,"A3APSDB02MI0VV",3,"10","17","""short""","""2-2""","""10""","""right""","""complex""","""vatrus"""
"7421",7421,"A3APSDB02MI0VV",4,"41","19","""short""","""1-4""","""41""","""right""","""complex""","""bugorn"""
"7422",7422,"A3APSDB02MI0VV",5,"47","50","""short""","""3-4""","""47""","""left""","""complex""","""torun"""
"7423",7423,"A3APSDB02MI0VV",6,"36","43","""long""","""5-5""","""36""","""left""","""complex""","""tiburalex"""
"7424",7424,"A3APSDB02MI0VV",7,"60","40","""long""","""3-3""","""60""","""left""","""complex""","""fepolopus"""
"7425",7425,"A3ASF4ZVP6BUGO",0,"16","49","""short""","""2-3""","""16""","""right""","""complex""","""torun"""
