subid ,trialnum,critORfill,word,pic1,pic2,pic1c,pic2c,side,chosenpic,response,trialtype,predicted response,date,time,birthdate,age ,male,exclusion ,trunc_age
71913-3,3,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/19/13,,5/26/09,4.15,1,-,4
71913-3,4,critical,mipatorun,59,43,S,C,R,43,C,L,C,7/19/13,,5/26/09,4.15,1,-,4
71913-3,5,critical,bapi,44,14,S,C,L,44,S,S,C,7/19/13,,5/26/09,4.15,1,-,4
71913-3,6,critical,gabu,57,36,S,C,L,57,S,S,C,7/19/13,,5/26/09,4.15,1,-,4
71913-3,7,critical,pakuwugnum,27,37,C,S,R,37,S,L,I,7/19/13,,5/26/09,4.15,1,-,4
71913-3,8,critical,tupa,3,33,S,C,R,33,C,S,I,7/19/13,,5/26/09,4.15,1,-,4
71913-3,9,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/19/13,,5/26/09,4.15,1,-,4
71913-3,10,critical,kibagronan,31,15,C,S,R,15,S,L,I,7/19/13,,5/26/09,4.15,1,-,4
71913-3,11,critical,tibu,25,54,C,S,L,25,C,S,I,7/19/13,,5/26/09,4.15,1,-,4
71913-3,12,critical,fepolopus,29,51,S,C,R,51,C,L,C,7/19/13,,5/26/09,4.15,1,-,4
72213-1,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/22/13,,9/2/09,3.89,0,-,3
72213-1,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/22/13,,9/2/09,3.89,0,-,3
72213-1,3,critical,bapi,36,54,C,S,R,54,S,S,C,7/22/13,,9/2/09,3.89,0,-,3
72213-1,4,critical,tupabugorn,33,13,C,S,L,33,C,L,C,7/22/13,,9/2/09,3.89,0,-,3
72213-1,5,critical,fepolopus,14,15,C,S,R,15,S,L,I,7/22/13,,9/2/09,3.89,0,-,3
72213-1,6,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/22/13,,9/2/09,3.89,0,-,3
72213-1,7,critical,tibu,23,37,C,S,R,37,S,S,C,7/22/13,,9/2/09,3.89,0,hard case,3
72213-1,8,critical,gaburatum,57,32,S,C,R,32,C,L,C,7/22/13,,9/2/09,3.89,0,-,3
72213-1,9,critical,kibagronan,51,3,C,S,L,51,C,L,C,7/22/13,,9/2/09,3.89,0,-,3
72213-1,10,critical,mipa,22,18,S,C,R,18,C,S,I,7/22/13,,9/2/09,3.89,0,-,3
72213-1,11,critical,paku,53,19,C,S,R,19,S,S,C,7/22/13,,9/2/09,3.89,0,-,3
72213-1,12,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/22/13,,9/2/09,3.89,0,-,3
72213-2,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/22/13,,1/31/09,4.47,0,-,4
72213-2,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/22/13,,1/31/09,4.47,0,-,4
72213-2,3,critical,bapi,19,32,S,C,R,32,C,S,I,7/22/13,,1/31/09,4.47,0,-,4
72213-2,4,critical,pakuwugnum,59,53,S,C,L,59,S,L,I,7/22/13,,1/31/09,4.47,0,-,4
72213-2,5,critical,tibu,15,43,S,C,L,15,S,S,C,7/22/13,,1/31/09,4.47,0,-,4
72213-2,6,critical,mipa,36,57,C,S,R,57,S,S,C,7/22/13,,1/31/09,4.47,0,-,4
72213-2,7,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/22/13,,1/31/09,4.47,0,-,4
72213-2,8,critical,fepolopus,38,46,C,S,R,46,S,L,I,7/22/13,,1/31/09,4.47,0,-,4
72213-2,9,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/22/13,,1/31/09,4.47,0,-,4
72213-2,10,critical,gaburatum,33,20,C,S,R,20,S,L,I,7/22/13,,1/31/09,4.47,0,-,4
72213-2,11,critical,tupabugorn,31,37,C,S,L,31,C,L,C,7/22/13,,1/31/09,4.47,0,-,4
72213-2,12,critical,kiba,52,13,C,S,R,13,S,S,C,7/22/13,,1/31/09,4.47,0,-,4
72413-1,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/24/13,10:43:00 AM,5/6/08,5.22,1,-,5
72413-1,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/24/13,10:43:00 AM,5/6/08,5.22,1,-,5
72413-1,3,critical,bapidokum,14,29,C,S,L,14,C,L,C,7/24/13,10:44:00 AM,5/6/08,5.22,1,-,5
72413-1,4,critical,fepolopus,25,59,C,S,L,25,C,L,C,7/24/13,10:44:00 AM,5/6/08,5.22,1,-,5
72413-1,5,critical,tupabugorn,3,43,S,C,R,43,C,L,C,7/24/13,10:44:00 AM,5/6/08,5.22,1,-,5
72413-1,6,critical,mipa,46,18,S,C,R,18,C,S,I,7/24/13,10:44:00 AM,5/6/08,5.22,1,-,5
72413-1,7,critical,gabu,44,35,S,C,L,44,S,S,C,7/24/13,10:44:00 AM,5/6/08,5.22,1,-,5
72413-1,8,critical,tibu,23,19,C,S,L,23,C,S,I,7/24/13,10:44:00 AM,5/6/08,5.22,1,Click-switch,5
72413-1,9,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/24/13,10:44:00 AM,5/6/08,5.22,1,-,5
72413-1,10,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/24/13,10:44:00 AM,5/6/08,5.22,1,-,5
72413-1,11,critical,pakuwugnum,22,51,S,C,R,51,C,L,C,7/24/13,10:45:00 AM,5/6/08,5.22,1,-,5
72413-1,12,critical,kiba,57,31,S,C,R,31,C,S,I,7/24/13,10:45:00 AM,5/6/08,5.22,1,-,5
72413-2,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/24/13,10:47:00 AM,12/7/07,5.63,1,-,5
72413-2,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/24/13,10:48:00 AM,12/7/07,5.63,1,-,5
72413-2,3,critical,bapi,3,27,S,C,R,27,C,S,I,7/24/13,10:48:00 AM,12/7/07,5.63,1,-,5
72413-2,4,critical,fepolopus,13,53,S,C,R,53,C,L,C,7/24/13,10:48:00 AM,12/7/07,5.63,1,-,5
72413-2,5,critical,paku,20,33,S,C,R,33,C,S,I,7/24/13,10:48:00 AM,12/7/07,5.63,1,-,5
72413-2,6,critical,tibu,14,57,C,S,R,57,S,S,C,7/24/13,10:48:00 AM,12/7/07,5.63,1,-,5
72413-2,7,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/24/13,10:48:00 AM,12/7/07,5.63,1,-,5
72413-2,8,critical,gaburatum,43,59,C,S,L,43,C,L,C,7/24/13,10:49:00 AM,12/7/07,5.63,1,-,5
72413-2,9,critical,kibagronan,31,6,C,S,L,31,C,L,C,7/24/13,10:49:00 AM,12/7/07,5.63,1,-,5
72413-2,10,critical,mipa,35,28,C,S,L,35,C,S,I,7/24/13,10:49:00 AM,12/7/07,5.63,1,-,5
72413-2,11,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/24/13,10:49:00 AM,12/7/07,5.63,1,-,5
72413-2,12,critical,tupabugorn,23,29,C,S,L,23,C,L,C,7/24/13,10:49:00 AM,12/7/07,5.63,1,-,5
72513-1,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/25/13,9:15:00 AM,10/6/09,3.8,0,-,3
72513-1,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/25/13,9:15:00 AM,10/6/09,3.8,0,-,3
72513-1,3,critical,tiburalex,28,35,S,C,L,28,S,L,I,7/25/13,9:16:00 AM,10/6/09,3.8,0,-,3
72513-1,4,critical,fepo,19,38,S,C,R,38,C,S,I,7/25/13,9:16:00 AM,10/6/09,3.8,0,-,3
72513-1,5,critical,bapidokum,57,27,S,C,L,57,S,L,I,7/25/13,9:16:00 AM,10/6/09,3.8,0,-,3
72513-1,6,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/25/13,9:16:00 AM,10/6/09,3.8,0,-,3
72513-1,7,critical,pakuwugnum,20,33,S,C,L,20,S,L,I,7/25/13,9:17:00 AM,10/6/09,3.8,0,-,3
72513-1,8,critical,mipatorun,31,59,C,S,L,31,C,L,C,7/25/13,9:17:00 AM,10/6/09,3.8,0,-,3
72513-1,9,critical,tupa,22,53,S,C,L,22,S,S,C,7/25/13,9:17:00 AM,10/6/09,3.8,0,-,3
72513-1,10,critical,gabu,3,51,S,C,L,3,S,S,C,7/25/13,9:17:00 AM,10/6/09,3.8,0,-,3
72513-1,11,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/25/13,9:17:00 AM,10/6/09,3.8,0,-,3
72513-1,12,critical,kiba,25,29,C,S,L,25,C,S,I,7/25/13,9:17:00 AM,10/6/09,3.8,0,-,3
72513-2,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/25/13,9:34:00 AM,5/26/09,4.16,0,-,4
72513-2,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/25/13,9:34:00 AM,5/26/09,4.16,0,-,4
72513-2,3,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/25/13,9:34:00 AM,5/26/09,4.16,0,-,4
72513-2,4,critical,bapi,3,52,S,C,L,3,S,S,C,7/25/13,9:34:00 AM,5/26/09,4.16,0,-,4
72513-2,5,critical,pakuwugnum,23,13,C,S,L,23,C,L,C,7/25/13,9:34:00 AM,5/26/09,4.16,0,-,4
72513-2,6,critical,tibu,15,36,S,C,R,36,C,S,I,7/25/13,9:34:00 AM,5/26/09,4.16,0,-,4
72513-2,7,critical,gabu,37,35,S,C,R,35,C,S,I,7/25/13,9:35:00 AM,5/26/09,4.16,0,-,4
72513-2,8,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/25/13,9:35:00 AM,5/26/09,4.16,0,-,4
72513-2,9,critical,mipatorun,38,28,C,S,L,38,C,L,C,7/25/13,9:35:00 AM,5/26/09,4.16,0,-,4
72513-2,10,critical,fepo,29,18,S,C,L,29,S,S,C,7/25/13,9:35:00 AM,5/26/09,4.16,0,-,4
72513-2,11,critical,kibagronan,25,19,C,S,L,25,C,L,C,7/25/13,9:35:00 AM,5/26/09,4.16,0,-,4
72513-2,12,critical,tupabugorn,27,57,C,S,R,57,S,L,I,7/25/13,9:35:00 AM,5/26/09,4.16,0,-,4
72513-3,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/25/13,9:46:00 AM,12/18/08,4.6,0,-,4
72513-3,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/25/13,9:46:00 AM,12/18/08,4.6,0,-,4
72513-3,3,critical,tibu,44,52,S,C,L,44,S,S,C,7/25/13,9:46:00 AM,12/18/08,4.6,0,-,4
72513-3,4,critical,fepo,33,3,C,S,L,33,C,S,I,7/25/13,9:47:00 AM,12/18/08,4.6,0,-,4
72513-3,5,critical,kibagronan,18,59,C,S,L,18,C,L,C,7/25/13,9:47:00 AM,12/18/08,4.6,0,-,4
72513-3,6,critical,bapidokum,23,37,C,S,L,23,C,L,C,7/25/13,9:47:00 AM,12/18/08,4.6,0,-,4
72513-3,7,critical,pakuwugnum,20,36,S,C,L,20,S,L,I,7/25/13,9:47:00 AM,12/18/08,4.6,0,Click-through,4
72513-3,8,critical,tupabugorn,32,19,C,S,L,32,C,L,C,7/25/13,9:47:00 AM,12/18/08,4.6,0,-,4
72513-3,9,critical,mipa,15,38,S,C,R,38,C,S,I,7/25/13,9:47:00 AM,12/18/08,4.6,0,-,4
72513-3,10,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/25/13,9:47:00 AM,12/18/08,4.6,0,-,4
72513-3,11,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/25/13,9:48:00 AM,12/18/08,4.6,0,-,4
72513-3,12,critical,gabu,43,29,C,S,L,43,C,S,I,7/25/13,9:48:00 AM,12/18/08,4.6,0,-,4
72513-4,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/25/13,10:04:00 AM,8/20/09,3.93,0,-,3
72513-4,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/25/13,10:04:00 AM,8/20/09,3.93,0,-,3
72513-4,3,critical,fepo,28,18,S,C,L,28,S,S,C,7/25/13,10:04:00 AM,8/20/09,3.93,0,-,3
72513-4,4,critical,tiburalex,32,59,C,S,L,32,C,L,C,7/25/13,10:04:00 AM,8/20/09,3.93,0,-,3
72513-4,5,critical,kibagronan,14,13,C,S,L,14,C,L,C,7/25/13,10:04:00 AM,8/20/09,3.93,0,-,3
72513-4,6,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/25/13,10:04:00 AM,8/20/09,3.93,0,-,3
72513-4,7,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/25/13,10:05:00 AM,8/20/09,3.93,0,-,3
72513-4,8,critical,tupa,27,6,C,S,R,6,S,S,C,7/25/13,10:05:00 AM,8/20/09,3.93,0,-,3
72513-4,9,critical,gaburatum,38,44,C,S,R,44,S,L,I,7/25/13,10:05:00 AM,8/20/09,3.93,0,-,3
72513-4,10,critical,bapi,54,36,S,C,L,54,S,S,C,7/25/13,10:05:00 AM,8/20/09,3.93,0,-,3
72513-4,11,critical,pakuwugnum,19,53,S,C,L,19,S,L,I,7/25/13,10:05:00 AM,8/20/09,3.93,0,-,3
72513-4,12,critical,mipa,46,31,S,C,R,31,C,S,I,7/25/13,10:05:00 AM,8/20/09,3.93,0,Click-switch,3
72513-5,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/25/13,10:51:00 AM,4/4/08,5.31,0,-,5
72513-5,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/25/13,10:52:00 AM,4/4/08,5.31,0,-,5
72513-5,3,critical,kiba,44,33,S,C,L,44,S,S,C,7/25/13,10:52:00 AM,4/4/08,5.31,0,-,5
72513-5,4,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/25/13,10:52:00 AM,4/4/08,5.31,0,-,5
72513-5,5,critical,tiburalex,54,14,S,C,R,14,C,L,C,7/25/13,10:52:00 AM,4/4/08,5.31,0,-,5
72513-5,6,critical,bapi,22,23,S,C,R,23,C,S,I,7/25/13,10:52:00 AM,4/4/08,5.31,0,-,5
72513-5,7,critical,tupabugorn,35,20,C,S,R,20,S,L,I,7/25/13,10:52:00 AM,4/4/08,5.31,0,-,5
72513-5,8,critical,gabu,3,52,S,C,R,52,C,S,I,7/25/13,10:52:00 AM,4/4/08,5.31,0,-,5
72513-5,9,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/25/13,10:52:00 AM,4/4/08,5.31,0,-,5
72513-5,10,critical,mipatorun,13,31,S,C,R,31,C,L,C,7/25/13,10:53:00 AM,4/4/08,5.31,0,-,5
72513-5,11,critical,fepolopus,15,32,S,C,R,32,C,L,C,7/25/13,10:53:00 AM,4/4/08,5.31,0,-,5
72513-5,12,critical,paku,43,29,C,S,L,43,C,S,I,7/25/13,10:53:00 AM,4/4/08,5.31,0,-,5
72913-1,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/29/13,10:53:00 AM,4/27/09,4.25,1,-,4
72913-1,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/29/13,10:53:00 AM,4/27/09,4.25,1,-,4
72913-1,3,critical,mipatorun,52,22,C,S,R,22,S,L,I,7/29/13,10:53:00 AM,4/27/09,4.25,1,-,4
72913-1,4,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/29/13,10:53:00 AM,4/27/09,4.25,1,-,4
72913-1,5,critical,pakuwugnum,57,53,S,C,R,53,C,L,C,7/29/13,10:53:00 AM,4/27/09,4.25,1,-,4
72913-1,6,critical,tibu,23,29,C,S,R,29,S,S,C,7/29/13,10:54:00 AM,4/27/09,4.25,1,-,4
72913-1,7,critical,bapi,14,13,C,S,L,14,C,S,I,7/29/13,10:54:00 AM,4/27/09,4.25,1,-,4
72913-1,8,critical,tupa,38,20,C,S,L,38,C,S,I,7/29/13,10:54:00 AM,4/27/09,4.25,1,-,4
72913-1,9,critical,gaburatum,51,44,C,S,R,44,S,L,I,7/29/13,10:54:00 AM,4/27/09,4.25,1,-,4
72913-1,10,critical,fepo,35,15,C,S,R,15,S,S,C,7/29/13,10:54:00 AM,4/27/09,4.25,1,-,4
72913-1,11,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/29/13,10:54:00 AM,4/27/09,4.25,1,-,4
72913-1,12,critical,kibagronan,59,33,S,C,R,33,C,L,C,7/29/13,10:55:00 AM,4/27/09,4.25,1,-,4
72913-2,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/29/13,10:59:00 AM,12/26/08,4.59,0,-,4
72913-2,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/29/13,10:59:00 AM,12/26/08,4.59,0,-,4
72913-2,3,critical,mipa,22,31,S,C,L,22,S,S,C,7/29/13,10:59:00 AM,12/26/08,4.59,0,-,4
72913-2,4,critical,gabu,46,51,S,C,R,51,C,S,I,7/29/13,11:00:00 AM,12/26/08,4.59,0,-,4
72913-2,5,critical,fepolopus,14,37,C,S,R,37,S,L,I,7/29/13,11:00:00 AM,12/26/08,4.59,0,-,4
72913-2,6,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/29/13,11:00:00 AM,12/26/08,4.59,0,-,4
72913-2,7,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/29/13,11:00:00 AM,12/26/08,4.59,0,-,4
72913-2,8,critical,tibu,38,54,C,S,R,54,S,S,C,7/29/13,11:01:00 AM,12/26/08,4.59,0,-,4
72913-2,9,critical,paku,3,36,S,C,L,3,S,S,C,7/29/13,11:01:00 AM,12/26/08,4.59,0,-,4
72913-2,10,critical,bapidokum,52,20,C,S,R,20,S,L,I,7/29/13,11:01:00 AM,12/26/08,4.59,0,-,4
72913-2,11,critical,tupabugorn,25,15,C,S,L,25,C,L,C,7/29/13,11:01:00 AM,12/26/08,4.59,0,-,4
72913-2,12,critical,kibagronan,18,29,C,S,R,29,S,L,I,7/29/13,11:02:00 AM,12/26/08,4.59,0,-,4
72913-3,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/29/13,11:08:00 AM,9/1/08,4.91,0,-,4
72913-3,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/29/13,11:08:00 AM,9/1/08,4.91,0,-,4
72913-3,3,critical,mipatorun,15,36,S,C,R,36,C,L,C,7/29/13,11:08:00 AM,9/1/08,4.91,0,load,4
72913-3,4,critical,tibu,59,14,S,C,R,14,C,S,I,7/29/13,11:09:00 AM,9/1/08,4.91,0,-,4
72913-3,5,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/29/13,11:09:00 AM,9/1/08,4.91,0,-,4
72913-3,6,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/29/13,11:09:00 AM,9/1/08,4.91,0,-,4
72913-3,7,critical,bapi,52,29,C,S,L,52,C,S,I,7/29/13,11:09:00 AM,9/1/08,4.91,0,-,4
72913-3,8,critical,gabu,35,3,C,S,L,35,C,S,I,7/29/13,11:09:00 AM,9/1/08,4.91,0,-,4
72913-3,9,critical,tupabugorn,18,37,C,S,R,37,S,L,I,7/29/13,11:09:00 AM,9/1/08,4.91,0,-,4
72913-3,10,critical,fepolopus,6,32,S,C,R,32,C,L,C,7/29/13,11:09:00 AM,9/1/08,4.91,0,-,4
72913-3,11,critical,kibagronan,22,38,S,C,R,38,C,L,C,7/29/13,11:09:00 AM,9/1/08,4.91,0,-,4
72913-3,12,critical,paku,46,27,S,C,R,27,C,S,I,7/29/13,11:09:00 AM,9/1/08,4.91,0,-,4
73013-2,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/30/13,9:30:00 AM,12/25/07,5.6,1,-,5
73013-2,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/30/13,9:30:00 AM,12/25/07,5.6,1,-,5
73013-2,3,critical,gaburatum,23,37,C,S,L,23,C,L,C,7/30/13,9:30:00 AM,12/25/07,5.6,1,-,5
73013-2,4,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/30/13,9:30:00 AM,12/25/07,5.6,1,-,5
73013-2,5,critical,fepolopus,57,33,S,C,L,57,S,L,I,7/30/13,9:30:00 AM,12/25/07,5.6,1,-,5
73013-2,6,critical,kiba,32,19,C,S,L,32,C,S,I,7/30/13,9:31:00 AM,12/25/07,5.6,1,-,5
73013-2,7,critical,paku,25,44,C,S,R,44,S,S,C,7/30/13,9:31:00 AM,12/25/07,5.6,1,-,5
73013-2,8,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/30/13,9:31:00 AM,12/25/07,5.6,1,-,5
73013-2,9,critical,bapidokum,18,29,C,S,L,18,C,L,C,7/30/13,9:31:00 AM,12/25/07,5.6,1,-,5
73013-2,10,critical,mipa,14,13,C,S,R,13,S,S,C,7/30/13,9:31:00 AM,12/25/07,5.6,1,-,5
73013-2,11,critical,tiburalex,38,22,C,S,L,38,C,L,C,7/30/13,9:31:00 AM,12/25/07,5.6,1,-,5
73013-2,12,critical,tupa,27,28,C,S,R,28,S,S,C,7/30/13,9:31:00 AM,12/25/07,5.6,1,-,5
73013-3,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/30/13,10:06:00 AM,4/19/10,3.28,1,-,3
73013-3,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/30/13,10:06:00 AM,4/19/10,3.28,1,-,3
73013-3,3,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/30/13,10:07:00 AM,4/19/10,3.28,1,-,3
73013-3,4,critical,fepolopus,36,22,C,S,L,36,C,L,C,7/30/13,10:07:00 AM,4/19/10,3.28,1,load,3
73013-3,5,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/30/13,10:07:00 AM,4/19/10,3.28,1,-,3
73013-3,6,critical,kiba,57,38,S,C,L,57,S,S,C,7/30/13,10:07:00 AM,4/19/10,3.28,1,-,3
73013-3,7,critical,paku,32,59,C,S,L,32,C,S,I,7/30/13,10:07:00 AM,4/19/10,3.28,1,-,3
73013-3,8,critical,bapidokum,31,19,C,S,R,19,S,L,I,7/30/13,10:07:00 AM,4/19/10,3.28,1,Click-switch,3
73013-3,9,critical,tibu,54,27,S,C,L,54,S,S,C,7/30/13,10:08:00 AM,4/19/10,3.28,1,load,3
73013-3,10,critical,mipa,52,37,C,S,L,52,C,S,I,7/30/13,10:08:00 AM,4/19/10,3.28,1,-,3
73013-3,11,critical,gaburatum,35,15,C,S,L,35,C,L,C,7/30/13,10:08:00 AM,4/19/10,3.28,1,-,3
73013-3,12,critical,tupabugorn,51,44,C,S,R,44,S,L,I,7/30/13,10:08:00 AM,4/19/10,3.28,1,Click-switch,3
73013-4,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/30/13,10:50:00 AM,2/13/10,3.46,1,-,3
73013-4,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/30/13,10:51:00 AM,2/13/10,3.46,1,-,3
73013-4,3,critical,kiba,3,23,S,C,L,3,S,S,C,7/30/13,10:51:00 AM,2/13/10,3.46,1,-,3
73013-4,4,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/30/13,10:51:00 AM,2/13/10,3.46,1,-,3
73013-4,5,critical,tiburalex,29,43,S,C,R,43,C,L,C,7/30/13,10:51:00 AM,2/13/10,3.46,1,-,3
73013-4,6,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/30/13,10:51:00 AM,2/13/10,3.46,1,-,3
73013-4,7,critical,bapidokum,33,19,C,S,L,33,C,L,C,7/30/13,10:51:00 AM,2/13/10,3.46,1,-,3
73013-4,8,critical,gaburatum,57,31,S,C,L,57,S,L,I,7/30/13,10:52:00 AM,2/13/10,3.46,1,-,3
73013-4,9,critical,pakuwugnum,44,51,S,C,L,44,S,L,I,7/30/13,10:52:00 AM,2/13/10,3.46,1,-,3
73013-4,10,critical,fepo,35,59,C,S,R,59,S,S,C,7/30/13,10:52:00 AM,2/13/10,3.46,1,-,3
73013-4,11,critical,tupa,13,14,S,C,R,14,C,S,I,7/30/13,10:52:00 AM,2/13/10,3.46,1,-,3
73013-4,12,critical,mipa,32,46,C,S,L,32,C,S,I,7/30/13,10:52:00 AM,2/13/10,3.46,1,-,3
73013-5,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/30/13,10:57:00 AM,9/15/09,3.87,1,-,3
73013-5,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/30/13,10:58:00 AM,9/15/09,3.87,1,-,3
73013-5,3,critical,tupabugorn,20,53,S,C,L,20,S,L,I,7/30/13,10:58:00 AM,9/15/09,3.87,1,-,3
73013-5,4,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/30/13,10:58:00 AM,9/15/09,3.87,1,-,3
73013-5,5,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/30/13,10:58:00 AM,9/15/09,3.87,1,-,3
73013-5,6,critical,bapi,13,23,S,C,R,23,C,S,I,7/30/13,10:58:00 AM,9/15/09,3.87,1,-,3
73013-5,7,critical,pakuwugnum,32,37,C,S,L,32,C,L,C,7/30/13,10:59:00 AM,9/15/09,3.87,1,-,3
73013-5,8,critical,mipatorun,51,59,C,S,L,51,C,L,C,7/30/13,10:59:00 AM,9/15/09,3.87,1,-,3
73013-5,9,critical,gabu,33,19,C,S,L,33,C,S,I,7/30/13,10:59:00 AM,9/15/09,3.87,1,-,3
73013-5,10,critical,fepo,15,27,S,C,R,27,C,S,I,7/30/13,10:59:00 AM,9/15/09,3.87,1,-,3
73013-5,11,critical,kibagronan,44,43,S,C,L,44,S,L,I,7/30/13,10:59:00 AM,9/15/09,3.87,1,-,3
73013-5,12,critical,tibu,52,6,C,S,L,52,C,S,I,7/30/13,10:59:00 AM,9/15/09,3.87,1,-,3
73113-1,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/31/13,9:13:00 AM,11/24/08,4.68,1,-,4
73113-1,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/31/13,9:13:00 AM,11/24/08,4.68,1,-,4
73113-1,3,critical,bapi,14,20,C,S,L,14,C,S,I,7/31/13,9:14:00 AM,11/24/08,4.68,1,load,4
73113-1,4,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/31/13,9:14:00 AM,11/24/08,4.68,1,-,4
73113-1,5,critical,gaburatum,46,31,S,C,R,31,C,L,C,7/31/13,9:14:00 AM,11/24/08,4.68,1,-,4
73113-1,6,critical,mipa,6,33,S,C,R,33,C,S,I,7/31/13,9:14:00 AM,11/24/08,4.68,1,load,4
73113-1,7,critical,fepolopus,59,51,S,C,R,51,C,L,C,7/31/13,9:14:00 AM,11/24/08,4.68,1,-,4
73113-1,8,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/31/13,9:14:00 AM,11/24/08,4.68,1,-,4
73113-1,9,critical,kiba,37,23,S,C,R,23,C,S,I,7/31/13,9:14:00 AM,11/24/08,4.68,1,-,4
73113-1,10,critical,pakuwugnum,52,29,C,S,L,52,C,L,C,7/31/13,9:15:00 AM,11/24/08,4.68,1,-,4
73113-1,11,critical,tibu,13,18,S,C,R,18,C,S,I,7/31/13,9:15:00 AM,11/24/08,4.68,1,-,4
73113-1,12,critical,tupabugorn,15,35,S,C,R,35,C,L,C,7/31/13,9:15:00 AM,11/24/08,4.68,1,-,4
73113-2,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/31/13,9:20:00 AM,2/9/08,5.47,0,-,5
73113-2,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/31/13,9:20:00 AM,2/9/08,5.47,0,-,5
